"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"multi:Axis_Value:1                    ","Class","Axis_Value","1.0.0.0","multi","The Axis_Value class identifies the data object which is associated with the one of the axes of the main data array.","ppi","","","","","","","","","","",""
"multi:Axis_Value:2                     multi:primary_axis_number:1           ","Attribute","primary_axis_number","n/a","multi","The index of the axis in the primary array. The first axis is numbered as 1.","ppi","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"multi:Face_Axis:1                     ","Class","Face_Axis","1.0.0.0","multi","The Face_Axis class associates one of the axes of a face data array with one of those of the main (primary) data array.","ppi","","","","","","","","","","",""
"multi:Face_Axis:2                      multi:primary_axis_number:1           ","Attribute","primary_axis_number","n/a","multi","The index of the axis in the primary array. The first axis is numbered as 1.","ppi","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"multi:Face_Axis:2                      multi:face_axis_number:1              ","Attribute","face_axis_number","n/a","multi","The index of the axis in the face array. The first axis is numbered as 1.","ppi","ASCII_Integer","1","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"multi:Face_Value:1                    ","Class","Face_Value","1.0.0.0","multi","The Face_Value class identifies the data object which contains parameters associated with two or more axes of the main (primary) data array.","ppi","","","","","","","","","","",""
"multi:Aligned_Value:1                 ","Class","Aligned_Value","1.0.0.0","multi","The Aligned_Value class identifies a value which aligns element-by-element with the main (primary) data array. The aligned values array must have the same dimensions as the observation array.","ppi","","","","","","","","","","",""
"multi:Primary_Value:1                 ","Class","Primary_Value","1.0.0.0","multi","The Primary_Value class identifies the data object which constitutes the main data array.","ppi","","","","","","","","","","",""
"multi:Multidimensional_Data:1         ","Class","Multidimensional_Data","1.0.0.0","multi","The Multidimensional_Data describes the data values which are associated with the elements along an axis or on the face of a observation data array.","ppi","","","","","","","","","","",""
"multi:Multidimensional_Data:2          pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","UTF8_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"multi:Multidimensional_Data:2          pds:local_identifier:1              ","Attribute","local_identifier","n/a","pds","The local_identifier attribute provides a character string which uniquely identifies the containing object within the label.","pds","ASCII_Local_Identifier","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"multi:Multidimensional_Data:2          pds:description:1                   ","Attribute","description","n/a","pds","The description attribute provides a statement, picture in words, or account that describes or is otherwise relevant to the object.","pds","UTF8_Text_Preserved","1","1","Unbounded","Unbounded","1","Unbounded","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
